user_id,user_id_type,customer_search_term,dma_code,postal_code,device_type,browser_family,operating_system,search_campaign_cnt,total_impressions_30d,total_clicks_30d,total_impressions_15d,total_clicks_15d,total_impressions_5d,total_clicks_5d,total_conversions_after_30d,total_revenue_after_30d,total_quantity_after_30d,total_conversions_before_30d,total_revenue_before_30d,total_quantity_before_30d,total_conversions_before_15d,total_revenue_before_15d,total_quantity_before_15d,total_conversions_before_5d,total_revenue_before_5d,total_quantity_before_5d,last_event_dt_before
AMZN_USR_39442,adUserId,coffee,"","","","","",2,18,0,18,0,18,0,1,0.0000,0,13,0.0000,0,10,0.0000,0,10,0.0000,0,""
AMZN_USR_39442,adUserId,buy coffee maker,"","","","","",2,21,3,21,3,21,3,1,0.0000,0,13,0.0000,0,10,0.0000,0,10,0.0000,0,""
AMZN_USR_20251,adUserId,buy coffee maker,"","","","","",2,8,1,8,1,8,1,0,0.0000,0,9,0.0000,0,9,0.0000,0,9,0.0000,0,""
AMZN_USR_20251,adUserId,coffee,"","","","","",2,19,2,19,2,19,2,0,0.0000,0,9,0.0000,0,9,0.0000,0,9,0.0000,0,""
AMZN_USR_44131,adUserId,buy coffee maker,"","","","","",2,18,4,18,4,18,4,0,0.0000,0,8,209.9700,6,7,209.9700,6,7,209.9700,6,""
AMZN_USR_44131,adUserId,coffee,"","","","","",2,11,3,11,3,11,3,0,0.0000,0,8,209.9700,6,7,209.9700,6,7,209.9700,6,""
AMZN_USR_41190,sisDeviceId,coffee,"","","","","",1,8,5,8,5,8,5,0,0.0000,0,7,0.0000,0,7,0.0000,0,7,0.0000,0,""
AMZN_USR_41190,sisDeviceId,buy coffee maker,"","","","","",1,9,2,9,2,9,2,0,0.0000,0,7,0.0000,0,7,0.0000,0,7,0.0000,0,""
AMZN_USR_41829,sisDeviceId,coffee,"","","","","",1,12,0,12,0,12,0,0,0.0000,0,16,0.0000,0,16,0.0000,0,16,0.0000,0,""
AMZN_USR_41829,sisDeviceId,buy coffee maker,"","","","","",1,5,4,5,4,5,4,0,0.0000,0,16,0.0000,0,16,0.0000,0,16,0.0000,0,""
AMZN_USR_25751,adBrowserId,coffee,"","","","","",1,11,5,11,5,11,5,0,0.0000,0,5,0.0000,0,5,0.0000,0,5,0.0000,0,""
AMZN_USR_25751,adBrowserId,buy coffee maker,"","","","","",1,8,0,8,0,8,0,0,0.0000,0,5,0.0000,0,5,0.0000,0,5,0.0000,0,""
AMZN_USR_38991,sisDeviceId,coffee,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,1,0.0000,0,1,0.0000,0,0,0.0000,0,""
AMZN_USR_31041,sisDeviceId,coffee,"","","","","",1,7,1,7,1,7,1,0,0.0000,0,2,0.0000,0,1,0.0000,0,1,0.0000,0,""
AMZN_USR_31041,sisDeviceId,buy coffee maker,"","","","","",1,5,0,5,0,5,0,0,0.0000,0,2,0.0000,0,1,0.0000,0,1,0.0000,0,""
AMZN_USR_20100,sisDeviceId,coffee,"","","","","",1,0,0,0,0,0,0,"","","","","","","","","","","","",""
