user_id,search_campaign_cnt,total_impressions_30d,total_clicks_30d,total_impressions_15d,total_clicks_15d,total_impressions_5d,total_clicks_5d,total_conversions_after_30d,total_revenue_after_30d,total_quantity_after_30d,total_conversions_before_30d,total_revenue_before_30d,total_quantity_before_30d,total_conversions_before_15d,total_revenue_before_15d,total_quantity_before_15d,total_conversions_before_5d,total_revenue_before_5d,total_quantity_before_5d,last_event_dt_before,search_term_count,last_30days_sp_impressions,last_30days_sp_clicks,sp_ctr_30d,last_30days_sb_impressions,last_30days_sb_clicks,sb_ctr_30d,avg_click_interval_seconds,impression_day_count,click_day_count,last_impression_time_diff_seconds,last_click_time_diff_seconds
AMZN_USR_47852,1,10,3,4,2,1,0,"","","","","","","","","","","","",2024-12-31T10:28:06.000Z,19,10,3,0.3,"","",0.0,1623200.4065934066,33,13,48714,710409
AMZN_USR_34294,1,30,1,15,1,7,0,"","","","","","","","","","","","",2024-12-31T19:10:57.000Z,104,30,1,0.03333333333333333,"","",0.0,"",21,1,133817,1091569
AMZN_USR_21549,1,30,11,15,4,3,1,"","","","","","","","","","","","",2024-12-31T10:59:32.000Z,77,30,11,0.36666666666666664,"","",0.0,1043748.2272727273,16,11,65163,46828
AMZN_USR_50302,1,20,4,10,4,3,1,"","","",0,0.0000,0,0,0.0000,0,0,0.0000,0,2024-12-30T16:39:24.000Z,46,20,4,0.2,"","",0.0,515487.1666666667,17,4,112836,159740
AMZN_USR_37063,1,20,4,12,2,5,0,"","","","","","","","","","","","",2024-12-31T09:43:42.000Z,68,20,4,0.2,16,1,0.0625,860258.6,23,4,78316,460743
AMZN_USR_47132,1,11,2,5,1,2,0,1,58.0000,7,"","","","","","","","","",2024-12-30T12:13:14.000Z,20,11,2,0.18181818181818182,"","",0.0,868268.0,10,2,128806,588605
AMZN_USR_22532,1,14,6,7,2,3,1,1,79.9600,4,4,296.0000,12,1,46.0000,4,1,46.0000,4,2024-12-31T15:31:31.000Z,55,14,6,0.42857142857142855,"","",0.0,1863193.4642857143,18,8,30509,35437
AMZN_USR_23441,1,20,2,13,1,4,0,"","","",0,0.0000,0,0,0.0000,0,0,0.0000,0,2024-12-31T08:41:39.000Z,89,20,2,0.1,"","",0.0,959484.0,14,2,55101,741734
AMZN_USR_29631,1,12,2,4,0,1,0,"","","",0,0.0000,0,0,0.0000,0,0,0.0000,0,2024-12-29T14:48:19.000Z,43,12,2,0.16666666666666666,9,2,0.2222222222222222,1326431.619047619,25,7,130003,809880
AMZN_USR_38282,1,26,3,17,1,5,0,"","","",3,238.9600,11,2,199.9600,8,1,120.0000,4,2024-12-31T20:45:53.000Z,50,26,3,0.11538461538461539,"","",0.0,751615.8333333334,16,4,11647,1153388
AMZN_USR_20795,1,7,3,4,3,1,1,"","","","","","","","","","","","",2024-12-28T23:15:23.000Z,46,7,3,0.42857142857142855,"","",0.0,375779.3333333333,5,3,355641,261877
AMZN_USR_35661,1,20,2,5,0,3,0,"","","","","","","","","","","","",2024-12-29T23:07:19.000Z,100,20,2,0.1,"","",0.0,564309.0,15,2,175961,1824981
AMZN_USR_51353,1,34,8,18,6,7,3,"","","","","","","","","","","","",2024-12-31T19:34:05.000Z,71,34,8,0.23529411764705882,"","",0.0,886128.6071428572,22,7,104917,136883
AMZN_USR_37729,1,19,0,12,0,5,0,"","","","","","","","","","","","",2024-12-31T02:35:47.000Z,27,19,0,0.0,"","",0.0,"",15,0,77053,""
AMZN_USR_19771,1,13,1,5,1,3,0,"","","","","","","","","","","","",2024-12-31T17:08:00.000Z,29,13,1,0.07692307692307693,"","",0.0,"",11,1,24720,940462
AMZN_USR_48915,1,9,2,6,2,3,0,"","","","","","","","","","","","",2024-12-31T13:01:30.000Z,23,9,2,0.2222222222222222,"","",0.0,1886645.357142857,24,8,43753,651850
AMZN_USR_47367,1,13,1,7,1,1,0,"","","","","","","","","","","","",2024-12-28T11:06:53.000Z,49,13,1,0.07692307692307693,11,5,0.45454545454545453,1006389.7333333333,19,5,77729,551401
AMZN_USR_31952,1,6,2,6,1,1,1,"","","","","","","","","","","","",2024-12-29T20:29:48.000Z,18,6,2,0.3333333333333333,"","",0.0,1474095.0,5,2,185412,422458
AMZN_USR_37674,1,21,3,6,1,2,0,"","","","","","","","","","","","",2024-12-30T07:17:02.000Z,73,21,3,0.14285714285714285,10,3,0.3,825658.5333333333,20,6,146578,125259
AMZN_USR_25029,1,14,2,11,1,2,0,"","","","","","","","","","","","",2024-12-27T04:12:01.000Z,37,14,2,0.14285714285714285,8,1,0.125,1408180.8333333333,17,4,324844,358650
AMZN_USR_31528,1,14,4,6,3,3,0,"","","",2,182.4600,5,2,182.4600,5,1,14.5000,1,2024-12-31T01:07:54.000Z,56,14,4,0.2857142857142857,"","",0.0,981691.5,13,3,82326,526282
AMZN_USR_22119,1,14,1,7,0,4,0,"","","","","","","","","","","","",2024-12-31T19:44:07.000Z,27,14,1,0.07142857142857142,"","",0.0,222230.66666666666,23,3,15353,2162725
AMZN_USR_31203,1,11,0,3,0,1,0,"","","","","","","","","","","","",2024-12-31T15:49:00.000Z,19,11,0,0.0,"","",0.0,"",10,0,310218,""
AMZN_USR_26866,1,25,3,15,1,4,0,"","","","","","","","","","","","",2024-12-31T17:02:12.000Z,41,25,3,0.12,"","",0.0,1110675.3333333333,18,3,25068,689166
AMZN_USR_34367,1,7,2,3,0,3,0,"","","",1,51.9600,4,0,0.0000,0,0,0.0000,0,2024-12-29T14:58:16.000Z,17,7,2,0.2857142857142857,"","",0.0,381040.0,8,2,205304,1708935
AMZN_USR_42709,1,4,1,2,0,0,0,"","","","","","","","","","","","",2024-12-29T19:49:05.000Z,26,4,1,0.25,"","",0.0,"",4,1,587061,1413697
AMZN_USR_49812,1,17,0,8,0,4,0,"","","","","","","","","","","","",2024-12-31T21:29:09.000Z,29,17,0,0.0,"","",0.0,552414.0,25,2,69477,2715265
AMZN_USR_36782,1,17,0,9,0,3,0,"","","","","","","","","","","","",2024-12-31T15:50:48.000Z,60,17,0,0.0,24,1,0.041666666666666664,"",21,1,29352,676871
AMZN_USR_18859,1,24,2,15,1,7,0,1,83.9800,2,2,133.9800,6,1,75.9800,2,1,75.9800,2,2024-12-31T01:29:45.000Z,123,24,2,0.08333333333333333,40,7,0.175,987648.3846153846,30,12,31650,12272
AMZN_USR_38802,1,10,1,8,0,2,0,"","","",0,0.0000,0,0,0.0000,0,0,0.0000,0,2024-12-31T07:27:29.000Z,30,10,1,0.1,"","",0.0,"",9,1,253290,2351828
AMZN_USR_29204,1,26,2,12,1,2,0,"","","",1,41.9700,5,0,0.0000,0,0,0.0000,0,2024-12-31T09:54:01.000Z,74,26,2,0.07692307692307693,12,1,0.08333333333333333,1136974.0,20,3,50759,80805
AMZN_USR_28616,1,8,4,1,3,0,2,"","","","","","","","","","","","",2024-12-30T08:36:34.000Z,18,8,4,0.5,"","",0.0,896604.5,8,4,1014852,141806
AMZN_USR_43292,1,23,4,15,2,4,1,"","","","","","","","","","","","",2024-12-31T02:47:34.000Z,80,23,4,0.17391304347826086,11,4,0.36363636363636365,1800879.7818181817,26,11,315797,76346
AMZN_USR_35395,1,7,1,3,0,1,0,"","","",0,0.0000,0,0,0.0000,0,0,0.0000,0,2024-12-31T13:46:21.000Z,19,7,1,0.14285714285714285,"","",0.0,903045.3333333334,16,3,36819,727232
AMZN_USR_50610,1,17,2,10,1,4,0,"","","","","","","","","","","","",2024-12-31T18:00:32.000Z,31,17,2,0.11764705882352941,"","",0.0,1397894.0,13,2,21568,939360
AMZN_USR_25204,1,28,7,15,4,4,2,"","","","","","","","","","","","",2024-12-31T05:03:57.000Z,46,28,7,0.25,"","",0.0,1085119.7142857143,25,7,187139,68163
AMZN_USR_33401,1,28,5,12,3,7,1,"","","","","","","","","","","","",2024-12-31T16:58:51.000Z,74,28,5,0.17857142857142858,"","",0.0,767374.0,18,5,49952,315115
AMZN_USR_23936,1,20,6,10,5,3,2,"","","","","","","","","","","","",2024-12-30T23:00:34.000Z,49,20,6,0.3,"","",0.0,648892.8,15,5,348076,89966
AMZN_USR_45730,1,24,3,14,1,3,0,"","","",1,59.9600,4,0,0.0000,0,0,0.0000,0,2024-12-31T06:59:33.000Z,70,24,3,0.125,9,3,0.3333333333333333,808482.8,22,6,61227,529261
AMZN_USR_42318,1,11,1,5,0,2,0,"","","","","","","","","","","","",2024-12-30T13:19:29.000Z,19,11,1,0.09090909090909091,"","",0.0,1459470.2,29,5,130549,2049289
AMZN_USR_41335,1,10,1,6,1,3,1,"","","","","","","","","","","","",2024-12-30T20:08:18.000Z,23,10,1,0.1,"","",0.0,1510201.9285714286,18,8,217404,204026
AMZN_USR_51803,1,26,4,17,2,5,2,"","","","","","","","","","","","",2024-12-31T18:22:13.000Z,73,26,4,0.15384615384615385,11,0,0.0,1181564.3333333333,21,4,64982,117665
AMZN_USR_48470,1,13,2,5,2,0,1,"","","","","","","","","","","","",2024-12-29T00:30:37.000Z,33,13,2,0.15384615384615385,"","",0.0,2493094.2,26,6,674495,390182
AMZN_USR_39088,1,19,5,9,2,3,0,"","","","","","","","","","","","",2024-12-31T20:35:17.000Z,57,19,5,0.2631578947368421,9,3,0.3333333333333333,831801.7916666666,24,15,12283,297473
AMZN_USR_28936,1,13,1,6,1,1,1,"","","","","","","","","","","","",2024-12-27T22:27:17.000Z,26,13,1,0.07692307692307693,"","",0.0,"",13,1,388364,351163
AMZN_USR_37274,1,28,6,14,2,4,2,"","","","","","","","","","","","",2024-12-31T08:46:14.000Z,71,28,6,0.21428571428571427,"","",0.0,1141601.0666666667,19,6,54826,157275
AMZN_USR_18578,1,17,5,10,3,7,0,"","","","","","","","","","","","",2024-12-31T16:15:54.000Z,73,17,5,0.29411764705882354,"","",0.0,1016748.4,15,6,36472,695079
AMZN_USR_23233,1,18,5,8,2,5,1,"","","","","","","","","","","","",2024-12-30T07:54:32.000Z,45,18,5,0.2777777777777778,"","",0.0,901674.3888888889,19,8,85742,138127
AMZN_USR_34433,1,27,7,18,4,10,2,"","","",1,34.5000,3,0,0.0000,0,0,0.0000,0,2024-12-31T19:26:17.000Z,86,27,7,0.25925925925925924,9,2,0.2222222222222222,1145515.5,21,9,35093,149922
AMZN_USR_43510,1,7,3,3,2,1,1,"","","","","","","","","","","","",2024-12-31T05:50:04.000Z,78,7,3,0.42857142857142855,21,10,0.47619047619047616,776122.6923076923,20,12,24210,212729
AMZN_USR_52096,1,10,4,5,2,2,0,"","","",1,70.0000,2,1,70.0000,2,0,0.0000,0,2024-12-29T23:35:58.000Z,54,10,4,0.4,11,1,0.09090909090909091,913908.6,15,5,64380,354362
AMZN_USR_48463,1,23,3,10,1,2,0,1,59.9700,3,3,319.4600,8,3,319.4600,8,2,151.5000,4,2024-12-31T01:57:36.000Z,90,23,3,0.13043478260869565,12,1,0.08333333333333333,1149967.6,17,5,75208,192786
AMZN_USR_41883,1,8,0,5,0,1,0,"","","","","","","","","","","","",2024-12-31T01:48:56.000Z,20,8,0,0.0,"","",0.0,"",7,0,214385,""
AMZN_USR_20351,1,22,7,8,4,1,0,"","","",0,0.0000,0,0,0.0000,0,0,0.0000,0,2024-12-31T02:22:35.000Z,50,22,7,0.3181818181818182,"","",0.0,896174.9523809524,16,7,299119,456051
AMZN_USR_42878,1,10,5,5,2,4,0,7,650.8500,21,"","","","","","","","","",2024-12-31T18:11:22.000Z,29,10,5,0.5,"","",0.0,948788.6666666666,7,6,20918,442661
AMZN_USR_49962,1,16,1,7,0,2,0,"","","","","","","","","","","","",2024-12-31T06:41:40.000Z,24,16,1,0.0625,"","",0.0,544978.0,21,2,62300,1574706
AMZN_USR_27880,1,12,3,4,0,2,0,"","","","","","","","","","","","",2024-12-31T11:09:37.000Z,28,12,3,0.25,"","",0.0,248470.0,10,2,92835,1693646
AMZN_USR_42945,1,15,1,10,0,5,0,"","","",2,108.0000,6,0,0.0000,0,0,0.0000,0,2024-12-31T03:47:36.000Z,27,15,1,0.06666666666666667,"","",0.0,182042.0,15,2,72744,2416838
AMZN_USR_47455,1,16,3,8,3,4,1,"","","","","","","","","","","","",2024-12-30T15:12:38.000Z,50,16,3,0.1875,0,0,0.0,2403175.6,22,4,118042,167576
AMZN_USR_20786,1,10,5,5,1,2,0,"","","","","","","","","","","","",2024-12-30T06:04:28.000Z,24,10,5,0.5,"","",0.0,616473.2,8,4,192780,1141246
AMZN_USR_30534,1,23,1,7,0,3,0,"","","","","","","","","","","","",2024-12-30T03:52:24.000Z,41,23,1,0.043478260869565216,"","",0.0,886864.0,18,2,158856,1710168
AMZN_USR_39305,1,8,1,4,1,2,0,"","","","","","","","","","","","",2024-12-31T07:28:25.000Z,16,8,1,0.125,"","",0.0,2227370.0,25,3,59495,771305
AMZN_USR_35739,1,12,3,4,2,1,0,"","","","","","","","","","","","",2024-12-31T12:31:55.000Z,30,12,3,0.25,"","",0.0,1809162.6,21,6,280021,550988
AMZN_USR_43001,1,18,4,13,2,3,0,"","","","","","","","","","","","",2024-12-31T19:37:59.000Z,97,18,4,0.2222222222222222,13,4,0.3076923076923077,752104.2142857143,28,7,15721,627746
AMZN_USR_51792,1,3,2,2,2,0,2,1,151.9600,4,"","","","","","","","","",2024-12-31T06:50:46.000Z,14,3,2,0.6666666666666666,"","",0.0,135250.0,4,2,990542,154531
AMZN_USR_18194,1,24,5,13,3,4,2,"","","","","","","","","","","","",2024-12-31T10:17:52.000Z,68,24,5,0.20833333333333334,14,1,0.07142857142857142,936994.0666666667,23,5,49328,398180
AMZN_USR_32917,1,24,4,14,2,4,1,"","","","","","","","","","","","",2024-12-31T18:05:49.000Z,50,24,4,0.16666666666666666,"","",0.0,1111610.3333333333,16,4,40501,246046
AMZN_USR_47502,1,14,4,8,1,3,0,"","","","","","","","","","","","",2024-12-31T01:32:08.000Z,52,14,4,0.2857142857142857,12,0,0.0,906992.2,18,4,80872,535226
AMZN_USR_49948,1,29,4,12,1,5,0,"","","","","","","","","","","","",2024-12-31T03:18:57.000Z,77,29,4,0.13793103448275862,"","",0.0,590049.3333333334,18,4,76719,1014125
AMZN_USR_38935,1,43,10,22,7,3,2,"","","","","","","","","","","","",2024-12-31T09:53:47.000Z,123,43,10,0.23255813953488372,"","",0.0,750975.6888888889,24,7,50773,246182
AMZN_USR_40986,1,7,1,4,0,2,0,"","","","","","","","","","","","",2024-12-31T11:15:29.000Z,30,7,1,0.14285714285714285,"","",0.0,"",6,1,45871,2124128
