user_id,recency,frequency,monetary,avg_order_value,total_impressions,total_clicks,click_through_rate,active_days,distinct_campaigns
AMZN_USR_39124,1555200,2,200.0000,25.0000000000,122,40,0.3278688524590164,161,3
AMZN_USR_29955,2073600,1,20.0000,20.0000000000,166,52,0.3132530120481928,218,4
AMZN_USR_28711,5529600,4,380.4700,38.3700000000,113,38,0.3362831858407080,150,2
AMZN_USR_35188,1296000,1,83.9700,27.9900000000,135,50,0.3703703703703704,185,2
AMZN_USR_24819,3801600,2,95.9400,15.9900000000,"","","","",""
AMZN_USR_20630,6307200,2,177.9500,37.9900000000,189,68,0.3597883597883598,257,3
AMZN_USR_43249,6480000,4,447.9600,32.3725000000,92,24,0.2608695652173913,115,2
AMZN_USR_34680,8294400,2,122.9400,20.4900000000,"","","","",""
AMZN_USR_28551,2332800,14,1259.2600,27.5664285714,130,53,0.4076923076923077,180,2
AMZN_USR_48714,3196800,4,259.9500,27.7450000000,100,34,0.3400000000000000,132,2
AMZN_USR_33167,7689600,2,260.9300,20.0303570000,87,29,0.3333333333333333,114,2
AMZN_USR_41473,2937600,5,544.3500,29.8920000000,267,100,0.3745318352059925,367,6
AMZN_USR_46073,5788800,4,281.9800,15.6654167500,127,34,0.2677165354330709,161,3
AMZN_USR_35166,5356800,2,113.0000,20.7500000000,378,111,0.2936507936507937,486,7
AMZN_USR_40958,4838400,4,352.9100,29.3675000000,156,51,0.3269230769230769,206,3
AMZN_USR_41809,1036800,6,607.8600,33.2416666667,139,46,0.3309352517985612,183,2
AMZN_USR_46796,864000,5,478.9300,27.9960000000,92,32,0.3478260869565217,121,2
AMZN_USR_25428,8640000,1,50.0000,12.5000000000,103,28,0.2718446601941748,131,2
AMZN_USR_25676,2592000,1,63.9600,10.6600000000,151,48,0.3178807947019868,199,3
AMZN_USR_38100,1209600,4,320.9900,30.2475000000,119,31,0.2605042016806723,149,2
AMZN_USR_39897,7689600,1,111.9600,27.9900000000,54,21,0.3888888888888889,75,1
AMZN_USR_30398,1641600,1,151.9600,37.9900000000,196,63,0.3214285714285714,259,4
AMZN_USR_25760,5875200,6,689.9100,36.8283333333,42,18,0.4285714285714286,60,1
AMZN_USR_46499,1123200,3,178.4700,9.6828570000,88,27,0.3068181818181818,115,2
AMZN_USR_41892,1728000,2,207.9700,30.4950000000,69,18,0.2608695652173913,86,1
AMZN_USR_21867,2592000,2,264.0000,44.0000000000,170,54,0.3176470588235294,224,3
AMZN_USR_37785,5616000,3,247.9400,18.1069843333,131,41,0.3129770992366412,172,3
AMZN_USR_35532,5356800,7,543.9000,22.4242857143,265,73,0.2754716981132075,335,4
AMZN_USR_34209,2851200,4,482.9200,35.4950000000,"","","","",""
AMZN_USR_21671,2851200,1,167.9600,41.9900000000,79,28,0.3544303797468354,107,2
AMZN_USR_28629,3542400,7,743.7800,28.9200000000,144,48,0.3333333333333333,191,2
AMZN_USR_34455,6739200,2,135.9700,20.2450000000,138,46,0.3333333333333333,184,2
AMZN_USR_22232,1641600,6,811.8800,39.4950000000,137,34,0.2481751824817518,171,2
AMZN_USR_50399,3110400,2,165.9500,31.9900000000,"","","","",""
AMZN_USR_26502,5184000,5,408.4600,24.0980000000,232,72,0.3103448275862069,300,5
AMZN_USR_36049,5961600,4,267.9800,16.6058927500,215,67,0.3116279069767442,282,3
AMZN_USR_35448,3369600,1,113.9700,37.9900000000,43,14,0.3255813953488372,56,1
AMZN_USR_30796,1123200,4,514.8900,34.6175000000,43,14,0.3255813953488372,57,1
AMZN_USR_46708,8121600,1,144.0000,28.8000000000,117,33,0.2820512820512821,150,3
AMZN_USR_37242,4233600,10,988.7600,24.2791619000,111,34,0.3063063063063063,144,2
AMZN_USR_35797,7948800,1,121.5000,40.5000000000,152,41,0.2697368421052632,193,3
AMZN_USR_31410,5443200,8,492.9200,25.6200000000,136,49,0.3602941176470588,184,2
AMZN_USR_42300,8467200,2,158.9700,14.4975000000,"","","","",""
AMZN_USR_22311,1036800,5,454.9000,32.0940000000,159,50,0.3144654088050314,209,3
AMZN_USR_41469,5961600,2,250.0000,24.0333335000,55,16,0.2909090909090909,70,2
AMZN_USR_32434,1468800,1,75.9800,37.9900000000,161,49,0.3043478260869565,204,3
AMZN_USR_46693,2678400,5,369.9000,33.7920000000,74,17,0.2297297297297297,91,1
AMZN_USR_33886,3196800,2,323.9200,40.4900000000,108,29,0.2685185185185185,136,2
AMZN_USR_45345,8380800,1,162.0000,32.4000000000,167,52,0.3113772455089820,217,3
AMZN_USR_38772,5011200,8,848.7900,18.4256696250,119,33,0.2773109243697479,151,1
AMZN_USR_23193,2419200,4,422.9600,22.5400000000,98,25,0.2551020408163265,123,2
AMZN_USR_18853,5356800,8,938.8900,34.8087500000,73,25,0.3424657534246575,91,1
AMZN_USR_39178,8208000,1,83.9700,27.9900000000,216,66,0.3055555555555556,279,4
AMZN_USR_27170,5788800,4,143.4100,14.1175000000,110,31,0.2818181818181818,141,2
AMZN_USR_19486,1555200,10,517.4400,18.6480000000,123,36,0.2926829268292683,157,3
AMZN_USR_31058,4579200,3,241.9600,20.1633333333,102,29,0.2843137254901961,131,2
AMZN_USR_50237,8208000,1,120.0000,40.0000000000,55,19,0.3454545454545455,72,1
AMZN_USR_33354,7689600,2,164.9400,27.4900000000,51,17,0.3333333333333333,67,1
AMZN_USR_51331,7171200,1,46.0000,11.5000000000,81,30,0.3703703703703704,110,2
AMZN_USR_37141,6134400,1,38.9700,12.9900000000,253,79,0.3122529644268775,331,4
AMZN_USR_49351,5788800,4,355.4200,26.6200000000,88,25,0.2840909090909091,113,2
AMZN_USR_26226,4752000,2,210.0000,32.5000000000,87,28,0.3218390804597701,115,2
AMZN_USR_48490,6825600,2,87.0000,14.5000000000,133,36,0.2706766917293233,166,3
AMZN_USR_45056,7776000,1,143.9600,35.9900000000,43,14,0.3255813953488372,57,1
AMZN_USR_26155,1209600,2,154.9700,16.2220000000,170,57,0.3352941176470588,226,3
AMZN_USR_20162,2592000,1,34.5000,5.7500000000,40,11,0.2750000000000000,51,1
AMZN_USR_34593,950400,3,339.9400,30.6600000000,"","","","",""
AMZN_USR_33678,7516800,3,201.9600,24.3300000000,160,42,0.2625000000000000,199,3
AMZN_USR_39886,3715200,5,545.9500,33.6960000000,170,42,0.2470588235294118,211,2
AMZN_USR_25968,3196800,1,80.0000,16.0000000000,92,28,0.3043478260869565,120,2
AMZN_USR_18526,6739200,3,291.9700,31.8300000000,114,23,0.2017543859649123,135,2
AMZN_USR_23691,8553600,1,143.9600,35.9900000000,73,29,0.3972602739726027,101,2
AMZN_USR_20651,2419200,5,298.9000,13.1374000000,117,36,0.3076923076923077,151,3
AMZN_USR_26150,5184000,1,60.0000,30.0000000000,63,24,0.3809523809523810,87,1
AMZN_USR_47968,3888000,1,100.0000,25.0000000000,212,76,0.3584905660377358,288,3
AMZN_USR_25292,2678400,6,569.4400,27.5800000000,165,52,0.3151515151515152,217,3
AMZN_USR_45460,2678400,3,289.9700,26.3300000000,138,50,0.3623188405797101,187,3
AMZN_USR_39295,8640000,1,151.9600,37.9900000000,82,30,0.3658536585365854,112,1
AMZN_USR_28146,1123200,2,70.4900,23.7450000000,175,50,0.2857142857142857,224,3
AMZN_USR_25046,864000,9,1145.7700,31.9491111111,263,77,0.2927756653992395,340,6
AMZN_USR_20161,3024000,3,309.9000,32.9900000000,153,40,0.2614379084967320,189,2
AMZN_USR_27948,6393600,3,397.9200,35.6600000000,167,48,0.2874251497005988,215,3
AMZN_USR_21630,5616000,4,394.8900,25.6175000000,181,49,0.2707182320441989,227,4
AMZN_USR_40026,5961600,1,99.9800,49.9900000000,112,43,0.3839285714285714,155,2
AMZN_USR_20456,1555200,1,107.9700,26.9925000000,93,28,0.3010752688172043,121,2
AMZN_USR_47624,950400,2,108.0000,39.0000000000,83,29,0.3493975903614458,112,2
AMZN_USR_24788,1814400,1,77.9800,38.9900000000,125,33,0.2640000000000000,157,2
AMZN_USR_18496,6566400,1,151.9600,37.9900000000,96,28,0.2916666666666667,124,1
AMZN_USR_46204,6652800,4,215.9600,23.3700000000,102,22,0.2156862745098039,122,3
AMZN_USR_44797,1382400,5,343.9200,22.1940000000,210,66,0.3142857142857143,275,4
AMZN_USR_36569,1382400,1,75.9800,37.9900000000,257,75,0.2918287937743191,332,4
AMZN_USR_45118,3369600,7,297.9300,18.4957142857,165,50,0.3030303030303030,214,3
AMZN_USR_31648,3888000,2,181.0000,32.7500000000,119,33,0.2773109243697479,151,2
AMZN_USR_30001,2505600,4,524.9800,23.5061427500,92,33,0.3586956521739130,124,2
AMZN_USR_28792,3024000,1,107.9700,35.9900000000,45,14,0.3111111111111111,59,1
AMZN_USR_21251,5702400,8,535.8900,25.1200000000,"","","","",""
AMZN_USR_38993,5270400,3,229.9800,25.1633333333,86,22,0.2558139534883721,106,1
AMZN_USR_18516,864000,9,763.4100,26.6077777778,269,94,0.3494423791821561,362,5
AMZN_USR_32988,2505600,1,79.9600,19.9900000000,166,47,0.2831325301204819,209,4
AMZN_USR_20150,3888000,5,279.5000,26.0000000000,107,27,0.2523364485981308,134,2
AMZN_USR_51056,2505600,6,452.9300,13.8133175000,90,27,0.3000000000000000,116,2
AMZN_USR_27608,1209600,2,91.9600,26.4950000000,132,43,0.3257575757575758,175,2
AMZN_USR_46390,864000,2,182.9700,30.4950000000,"","","","",""
AMZN_USR_50536,5961600,3,226.9100,22.6566666667,246,77,0.3130081300813008,318,4
AMZN_USR_40124,2851200,1,167.9600,41.9900000000,130,48,0.3692307692307692,177,3
AMZN_USR_31962,8640000,1,49.9900,49.9900000000,155,46,0.2967741935483871,200,2
AMZN_USR_51409,2073600,1,39.0000,9.7500000000,35,9,0.2571428571428571,44,1
AMZN_USR_29794,5529600,4,433.8500,19.0341310000,116,36,0.3103448275862069,152,2
AMZN_USR_35030,4838400,1,59.9600,14.9900000000,"","","","",""
AMZN_USR_25940,1468800,3,321.4800,38.8300000000,181,54,0.2983425414364641,235,3
AMZN_USR_47373,2592000,1,116.9700,38.9900000000,125,34,0.2720000000000000,158,3
AMZN_USR_22560,950400,4,285.9100,31.9900000000,131,38,0.2900763358778626,168,2
AMZN_USR_45183,5961600,4,335.9300,20.3777500000,93,30,0.3225806451612903,123,2
AMZN_USR_28491,3369600,5,614.9300,41.3960000000,46,20,0.4347826086956522,65,1
AMZN_USR_45445,7776000,2,137.9800,34.4950000000,45,11,0.2444444444444444,56,1
AMZN_USR_39037,2246400,1,75.0000,25.0000000000,15,4,0.2666666666666667,19,1
AMZN_USR_51959,5788800,6,706.8800,31.9116666667,165,50,0.3030303030303030,211,3
AMZN_USR_38758,3283200,2,89.9600,28.9900000000,154,53,0.3441558441558442,204,2
AMZN_USR_28263,3196800,9,704.9000,23.3300000000,162,48,0.2962962962962963,208,2
AMZN_USR_31138,2678400,6,440.8900,23.3283333333,273,85,0.3113553113553114,356,4
AMZN_USR_40398,2764800,5,385.4000,26.0940000000,105,35,0.3333333333333333,137,2
AMZN_USR_43826,8640000,1,103.9600,20.7920000000,211,67,0.3175355450236967,276,4
AMZN_USR_44279,864000,9,849.8800,22.1113888889,238,75,0.3151260504201681,312,4
AMZN_USR_26614,6134400,5,456.4100,16.5428286000,103,34,0.3300970873786408,137,2
AMZN_USR_32255,3196800,4,520.4700,39.3725000000,141,41,0.2907801418439716,182,3
AMZN_USR_19605,1123200,2,104.0000,12.3333335000,167,55,0.3293413173652695,220,3
AMZN_USR_28712,2764800,6,448.8900,13.9871825000,326,88,0.2699386503067485,412,6
AMZN_USR_23055,3542400,2,185.9300,24.9900000000,49,17,0.3469387755102041,65,1
AMZN_USR_32139,3888000,1,51.9600,12.9900000000,78,23,0.2948717948717949,101,1
AMZN_USR_28027,1209600,6,571.4200,21.3359523333,179,54,0.3016759776536313,231,4
AMZN_USR_21026,8121600,4,441.9100,33.3675000000,156,54,0.3461538461538462,210,3
AMZN_USR_41770,6480000,6,722.9200,37.7450000000,148,33,0.2229729729729730,181,3
AMZN_USR_29021,864000,4,309.9500,24.2450000000,97,25,0.2577319587628866,121,2
AMZN_USR_18245,950400,1,77.9700,25.9900000000,213,59,0.2769953051643192,272,4
AMZN_USR_26487,3542400,2,193.4700,23.0962500000,47,18,0.3829787234042553,64,1
AMZN_USR_38246,2592000,1,39.0000,13.0000000000,158,40,0.2531645569620253,197,3
AMZN_USR_27323,5270400,3,187.9800,26.9966666667,106,31,0.2924528301886792,137,2
AMZN_USR_33257,6480000,2,113.9500,18.8935000000,58,20,0.3448275862068966,78,1
AMZN_USR_39768,5097600,1,50.0000,25.0000000000,187,53,0.2834224598930481,239,4
AMZN_USR_38477,1728000,1,47.9700,15.9900000000,133,43,0.3233082706766917,176,2
AMZN_USR_37650,1814400,3,355.9600,29.6633333333,74,22,0.2972972972972973,96,1
AMZN_USR_49902,3196800,1,100.0000,20.0000000000,82,22,0.2682926829268293,104,2
AMZN_USR_43925,3801600,3,223.9200,24.6566666667,210,63,0.3000000000000000,271,5
AMZN_USR_48632,8553600,1,167.9600,41.9900000000,23,5,0.2173913043478261,28,1
AMZN_USR_38862,7171200,1,51.9600,8.6600000000,83,30,0.3614457831325301,113,2
AMZN_USR_41739,1296000,5,342.9300,17.4957000000,169,60,0.3550295857988166,228,4
AMZN_USR_36452,2592000,4,499.9400,29.2462500000,72,21,0.2916666666666667,92,1
AMZN_USR_25398,7430400,2,57.9600,14.4900000000,85,20,0.2352941176470588,105,2
AMZN_USR_37289,7689600,1,38.9700,12.9900000000,42,16,0.3809523809523810,58,1
AMZN_USR_35105,3024000,9,609.4100,21.9966666667,210,77,0.3666666666666667,287,3
AMZN_USR_40441,3628800,2,175.9600,21.7114285000,35,12,0.3428571428571429,47,1
AMZN_USR_32818,6393600,1,63.9600,15.9900000000,48,17,0.3541666666666667,65,1
AMZN_USR_51797,4233600,2,126.9600,18.7450000000,112,36,0.3214285714285714,147,2
AMZN_USR_38723,6912000,5,459.8800,18.6537142000,71,14,0.1971830985915493,84,1
AMZN_USR_31440,6480000,3,173.9500,29.9933333333,141,43,0.3049645390070922,184,3
AMZN_USR_49416,8208000,2,93.9600,22.9950000000,47,16,0.3404255319148936,63,1
AMZN_USR_29162,3801600,1,103.9600,25.9900000000,"","","","",""
AMZN_USR_51335,6825600,2,159.9400,26.9900000000,"","","","",""
AMZN_USR_44927,2419200,1,19.9900,19.9900000000,54,18,0.3333333333333333,72,1
AMZN_USR_43985,8380800,1,11.5000,5.7500000000,171,51,0.2982456140350877,222,3
AMZN_USR_27546,3715200,6,467.3800,24.9100000000,245,84,0.3428571428571429,329,5
AMZN_USR_32374,3542400,2,257.9600,25.7960000000,65,22,0.3384615384615385,87,2
AMZN_USR_20740,3196800,5,525.8500,28.5920000000,135,39,0.2888888888888889,174,3
AMZN_USR_42567,1036800,5,340.9000,23.3940000000,125,41,0.3280000000000000,165,3
AMZN_USR_35926,4233600,1,99.9800,49.9900000000,49,15,0.3061224489795918,63,2
AMZN_USR_23306,1036800,5,511.8800,33.5920000000,110,24,0.2181818181818182,134,2
AMZN_USR_45449,2851200,1,38.9700,12.9900000000,399,127,0.3182957393483709,523,7
AMZN_USR_38683,8640000,1,79.9600,19.9900000000,27,9,0.3333333333333333,36,1
AMZN_USR_21380,5788800,5,347.9600,29.1980000000,120,28,0.2333333333333333,148,2
AMZN_USR_29818,7776000,1,60.0000,12.0000000000,66,20,0.3030303030303030,85,2
AMZN_USR_25041,3542400,2,115.9200,14.4900000000,297,91,0.3063973063973064,386,6
AMZN_USR_40141,4233600,4,200.9800,19.4975000000,91,32,0.3516483516483516,123,2
AMZN_USR_22774,864000,5,383.4300,20.4960000000,108,43,0.3981481481481481,151,2
AMZN_USR_29323,6048000,5,252.8800,18.5920000000,"","","","",""
AMZN_USR_38680,5270400,1,75.0000,18.7500000000,53,13,0.2452830188679245,66,1
