search_campaign_cnt,total_impressions_30d,total_clicks_30d,total_impressions_15d,total_clicks_15d,total_impressions_3d,total_clicks_3d,total_conversions_30d,total_revenue_30d,total_quantity_30d,total_conversions_15d,total_revenue_15d,total_quantity_15d,total_conversions_3d,total_revenue_3d,total_quantity_3d
1,2,1,0,1,0,0,6,0,0,1,0,0,0,0,0
1,2,2,1,0,0,0,6,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
1,3,0,3,0,2,0,1,0,0,1,0,0,0,0,0
2,6,2,5,1,1,0,3,0,0,1,0,0,0,0,0
2,8,1,6,1,1,1,3,0,0,1,0,0,0,0,0
1,4,0,3,0,2,0,1,0,0,0,0,0,0,0,0
1,6,0,4,0,1,0,1,0,0,0,0,0,0,0,0
1,6,0,5,0,1,0,3,0,0,2,0,0,1,0,0
1,5,4,5,3,2,1,3,0,0,2,0,0,1,0,0
1,3,1,3,0,0,0,7,0,0,6,0,0,2,0,0
1,1,2,0,0,0,0,7,0,0,6,0,0,2,0,0
1,6,1,3,1,0,0,1,0,0,1,0,0,0,0,0
1,6,0,4,0,0,0,1,0,0,1,0,0,0,0,0
1,2,2,0,2,0,2,6,0,0,4,0,0,2,0,0
1,1,1,1,1,0,0,6,0,0,4,0,0,2,0,0
1,10,2,7,2,1,0,1,0,0,1,0,0,1,0,0
1,7,1,4,1,0,0,1,0,0,1,0,0,1,0,0
1,3,1,2,1,0,0,6,86,5,2,0,0,1,0,0
1,1,1,0,1,0,1,6,86,5,2,0,0,1,0,0
1,8,1,6,1,2,1,1,0,0,1,0,0,1,0,0
1,3,2,2,1,0,1,1,0,0,1,0,0,1,0,0
1,7,0,4,0,2,0,0,0,0,0,0,0,0,0,0
1,5,1,4,0,2,0,0,0,0,0,0,0,0,0,0
2,8,2,6,2,2,0,12,0,0,6,0,0,1,0,0
2,17,3,14,2,6,0,12,0,0,6,0,0,1,0,0
1,4,0,3,0,1,0,3,0,0,2,0,0,1,0,0
1,1,0,1,0,0,0,3,0,0,2,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,3,5,3,1,0,4,0,0,3,0,0,0,0,0
2,6,2,4,1,0,0,4,0,0,3,0,0,0,0,0
1,3,1,3,1,0,1,1,0,0,1,0,0,0,0,0
1,3,0,3,0,2,0,1,0,0,1,0,0,0,0,0
1,8,1,7,1,2,1,1,0,0,1,0,0,1,0,0
1,8,2,8,2,2,1,1,0,0,1,0,0,1,0,0
1,4,1,4,1,1,0,6,0,0,3,0,0,0,0,0
1,1,2,1,1,0,0,6,0,0,3,0,0,0,0,0
1,5,1,3,1,0,0,4,0,0,4,0,0,2,0,0
1,7,0,5,0,0,0,4,0,0,4,0,0,2,0,0
1,2,0,1,0,0,0,3,109.96,4,1,0,0,0,0,0
1,4,2,3,2,1,1,3,109.96,4,1,0,0,0,0,0
1,3,2,2,1,1,1,11,0,0,2,0,0,0,0,0
1,9,1,8,1,1,0,11,0,0,2,0,0,0,0,0
1,4,2,4,2,1,0,7,362.93,10,6,362.93,10,1,0,0
1,6,2,5,2,2,0,7,362.93,10,6,362.93,10,1,0,0
1,3,0,3,0,2,0,6,0,0,3,0,0,0,0,0
1,6,2,4,1,0,1,6,0,0,3,0,0,0,0,0
2,15,1,9,1,4,0,10,0,0,8,0,0,2,0,0
2,19,1,14,1,5,0,10,0,0,8,0,0,2,0,0
1,2,1,2,1,0,0,1,162,4,1,162,4,1,162,4
1,5,1,5,1,2,1,1,162,4,1,162,4,1,162,4
1,3,1,0,0,0,0,5,167.96,4,0,0,0,0,0,0
1,1,1,0,0,0,0,5,167.96,4,0,0,0,0,0,0
1,7,1,6,0,1,0,1,0,0,0,0,0,0,0,0
1,4,1,4,0,0,0,1,0,0,0,0,0,0,0,0
1,6,1,6,1,1,0,0,0,0,0,0,0,0,0,0
1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0
1,7,3,6,1,2,0,5,0,0,3,0,0,1,0,0
1,4,0,3,0,1,0,5,0,0,3,0,0,1,0,0
1,4,1,4,1,1,1,1,0,0,1,0,0,0,0,0
1,14,0,11,0,1,0,1,0,0,1,0,0,0,0,0
1,3,1,0,0,0,0,9,0,0,6,0,0,1,0,0
1,0,0,0,0,0,0,9,0,0,6,0,0,1,0,0
2,8,3,7,2,4,0,7,0,0,3,0,0,1,0,0
2,8,2,6,2,0,0,7,0,0,3,0,0,1,0,0
1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,6,1,2,1,4,0,0,4,0,0,1,0,0
2,9,4,6,3,2,0,4,0,0,4,0,0,1,0,0
1,1,1,0,0,0,0,2,0,0,2,0,0,1,0,0
1,3,1,1,1,0,1,2,0,0,2,0,0,1,0,0
1,3,1,0,0,0,0,6,0,0,1,0,0,0,0,0
1,6,0,0,0,0,0,6,0,0,1,0,0,0,0,0
